Количество строк,Дата и время,Размер файла
13549605,01.09.2025 22:15,180 МБ (189007471 байт)
13543443,02.09.2025 20:30,180 МБ (188919948 байт)
13549339,03.09.2025 21:34,180 МБ (189009928 байт)
13548322,04.09.2025 20:13,180 МБ (188989434 байт)
13548171,05.09.2025 20:51,180 МБ (188993381 байт)
13549278,06.09.2025 21:27,180 МБ (189000323 байт)
13548581,07.09.2025 20:19,180 МБ (189000262 байт)
13550716,08.09.2025 21:42,180 МБ (189028089 байт)
13547345,09.09.2025 19:44,180 МБ (188975573 байт)
13554544,10.09.2025 22:23,180 МБ (189095639 байт)
13550162,12.09.2025 18:48,180 МБ (189026461 байт)
13545822,12.09.2025 20:43,180 МБ (188974195 байт)
13549258,13.09.2025 22:26,180 МБ (189011978 байт)
13555315,14.09.2025 22:30,180 МБ (189096468 байт)
